id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
406,Github,Github,Github,false,Patra Group : Opuzen,2
407,Glen Raven,Glen Raven,Glen Raven,false,Patra Group : Opuzen,2
555,Glue Machinery Corporation,Glue Machinery Corporation,Glue Machinery Corporation,false,Patra Group : Opuzen,2
408,GoDaddy,GoDaddy,GoDaddy,false,Patra Group : Opuzen,2
409,"Golden Vale Group, Inc","Golden Vale Group, Inc","Golden Vale Group, Inc",false,Patra Group : Opuzen,2
4319,Golding Fabrics,Golding Fabrics,Golding Fabrics,false,Patra Group : Opuzen,2
410,Graf & Lantz Inc,Graf & Lantz Inc,Graf & Lantz Inc,false,Patra Group : Opuzen,2
411,Great Lakes Pension Associates,Great Lakes Pension Associates,Great Lakes Pension Associates,false,Patra Group : Opuzen,2
412,Guilford of Maine,Guilford of Maine,Guilford of Maine,false,Patra Group : Opuzen,2
3836,Haezebrouk,Haezebrouk,Haezebrouk,false,Patra Group : Opuzen,2
413,"Hampton Textile Printing, Inc.","Hampton Textile Printing, Inc.","Hampton Textile Printing, Inc.",false,Patra Group : Opuzen,2
414,Hanes,Hanes,Hanes,false,Patra Group : Opuzen,2
415,Harland Checks,Harland Checks,Harland Checks,false,Patra Group : Opuzen,2
416,Harmel Home,Harmel Home,Harmel Home,false,Patra Group : Opuzen,2
417,Harper Home,Harper Home,Harper Home,false,Patra Group : Opuzen,2
418,Health For Life 911 - Karen McIntosh,Health For Life 911 - Karen McIntosh,Health For Life 911 - Karen McIntosh,false,Patra Group : Opuzen,2
121,Heena Jaliawala.,,Heena Jaliawala.,false,Patra Group : Opuzen,2
3838,Hemp Traders,Hemp Traders,Hemp Traders,false,Patra Group : Opuzen,2
556,Heritage Fabrics,Heritage Fabrics,Heritage Fabrics,false,Patra Group : Opuzen,2
4320,High Five Textiles,High Five Textiles,High Five Textiles,false,Patra Group : Opuzen,2
419,Himatsingka,Himatsingka,Himatsingka,false,Patra Group : Opuzen,2
3819,Holland & Sherry,Holland & Sherry,Holland & Sherry,false,Patra Group : Opuzen,2
420,Illerom Trading,Illerom Trading,Illerom Trading,false,Patra Group : Opuzen,2
421,"Infinity Fabrics, LLC","Infinity Fabrics, LLC","Infinity Fabrics, LLC",false,Patra Group : Opuzen,2
422,Insperity,Insperity,Insperity,false,Patra Group : Opuzen,2
423,Intermedia,Intermedia,Intermedia,false,Patra Group : Opuzen,2
424,Intuit Software,Intuit Software,Intuit Software,false,Patra Group : Opuzen,2
425,IRS,IRS,IRS,false,Patra Group : Opuzen,2
4321,Jacquard Fabrics,Jacquard Fabrics,Jacquard Fabrics,false,Patra Group : Opuzen,2
427,Jaipuria Silk Mills,Jaipuria Silk Mills,Jaipuria Silk Mills,false,Patra Group : Opuzen,2
426,JB Martin,JB Martin,JB Martin,false,Patra Group : Opuzen,2
122,Jeff Goliger,,Jeff Goliger,false,Patra Group : Opuzen,2
557,Kaslen Textiles,Kaslen Textiles,Kaslen Textiles,false,Patra Group : Opuzen,2
123,Ken Kaneko,,Ken Kaneko,false,Patra Group : Opuzen,2
428,KenSu Precious,KenSu Precious,KenSu Precious,false,Patra Group : Opuzen,2
321,King Textiles,King Textiles,King Textiles,false,Patra Group : Opuzen,2
